,0.1-1.0,1.0-20.0,4.0-14.0,4.0-20.0
2020-05-24 15:29:59,1.00648187152e-06,9.34244683038e-09,3.16697395155e-09,3.29313767531e-09
2020-05-24 15:44:59,1.02018438237e-06,9.49969037455e-09,3.16310314014e-09,3.29758312878e-09
2020-05-24 15:59:59,1.02449563559e-06,9.48755849657e-09,3.21702997492e-09,3.35431390054e-09
2020-05-24 16:14:59,1.07821507047e-06,9.19408400109e-09,3.11926289252e-09,3.25627055848e-09
2020-05-24 16:29:59,1.02764202079e-06,9.07717520818e-09,3.11020868691e-09,3.23361085891e-09
2020-05-24 16:44:59,9.74165073578e-07,9.22058709813e-09,3.20476955047e-09,3.3322999721e-09
2020-05-24 16:59:59,1.01027092388e-06,9.55914907999e-09,3.30859278474e-09,3.44590815137e-09
2020-05-24 17:14:59,9.98716561407e-07,9.64111941294e-09,3.64289167223e-09,3.78125834077e-09
2020-05-24 17:29:59,9.55045945184e-07,1.01799152697e-08,3.98728305071e-09,4.12827118481e-09
2020-05-24 17:44:59,1.03055722362e-06,1.40844397584e-08,5.40170619196e-09,5.60298904268e-09
2020-05-24 17:59:59,9.93971570543e-07,1.16911141265e-08,4.50074215098e-09,4.76829530385e-09
2020-05-24 18:14:59,9.35633227939e-07,9.70836650479e-09,3.59368489964e-09,3.78961316354e-09
2020-05-24 18:29:59,9.29390207577e-07,1.00683077284e-08,3.88040765183e-09,4.0537044516e-09
2020-05-24 18:44:59,1.00342107452e-06,1.00313602911e-08,4.00601929905e-09,4.22519697321e-09
2020-05-24 18:59:59,1.07076487095e-06,9.84051546099e-09,3.74589668628e-09,3.98865310159e-09
2020-05-24 19:14:59,1.01219565981e-06,1.00608651472e-08,3.97139016473e-09,4.262730687e-09
2020-05-24 19:29:59,9.92110701146e-07,1.03498972562e-08,4.01637466798e-09,4.36300027799e-09
2020-05-24 19:44:59,9.38441787184e-07,1.14476837573e-08,4.26016310494e-09,4.51997348851e-09
2020-05-24 19:59:59,9.31985978959e-07,1.50877537584e-08,6.10264921258e-09,6.3394820021e-09
2020-05-24 20:14:59,9.11693983966e-07,1.41173210056e-08,5.97410987008e-09,6.27896089534e-09
2020-05-24 20:29:59,1.02132743924e-06,1.08132023211e-08,5.0235821784e-09,5.39470078644e-09
2020-05-24 20:44:59,9.91103560343e-07,1.08362184143e-08,5.08464227608e-09,5.47410399371e-09
2020-05-24 20:59:59,9.77647017158e-07,1.05176579555e-08,4.54489765359e-09,4.88541980018e-09
2020-05-24 21:14:59,1.02105597805e-06,1.08024530489e-08,4.77943948199e-09,5.12795784048e-09
2020-05-24 21:29:59,1.00627731706e-06,1.10323936176e-08,4.9931882681e-09,5.4449911328e-09
2020-05-24 21:44:59,9.85899098982e-07,1.11153601688e-08,5.12149116987e-09,5.71457731467e-09
2020-05-24 21:59:59,9.41448014374e-07,1.13055114106e-08,5.35208552375e-09,6.24582683098e-09
2020-05-24 22:14:59,8.94455975274e-07,1.35885572993e-08,7.92149651525e-09,9.55057907687e-09
2020-05-24 22:29:59,9.1988384962e-07,1.62213628978e-08,1.04829322095e-08,1.29593115577e-08
2020-05-24 22:44:59,9.45990777732e-07,1.73701790899e-08,1.12283655718e-08,1.41657032494e-08
2020-05-24 22:59:59,9.7414208492e-07,3.506074553e-08,2.26568021184e-08,2.69986103306e-08
2020-05-24 23:14:59,9.24048615928e-07,3.81502183348e-08,2.48787008312e-08,2.82316914602e-08
2020-05-24 23:29:59,1.00753779923e-06,2.81690560457e-08,1.88202881129e-08,2.05414512129e-08
2020-05-24 23:44:59,1.04129776629e-06,2.84077949597e-08,1.99163433768e-08,2.13716339264e-08
2020-05-24 23:59:59,1.01772773632e-06,3.13532103209e-08,2.09403786125e-08,2.26517768877e-08
2020-05-25 00:14:59,9.83482138376e-07,3.72467513695e-08,2.30519912459e-08,2.73310842045e-08
2020-05-25 00:29:59,9.81589873494e-07,2.26728710483e-08,1.47052960947e-08,1.94764491087e-08
2020-05-25 00:44:59,1.03126067314e-06,3.90530484631e-08,2.30588482252e-08,2.73504979255e-08
2020-05-25 00:59:59,1.07439597785e-06,5.20567241086e-08,2.65452883407e-08,2.89606094104e-08
2020-05-25 01:14:59,1.01639721179e-06,4.84633162913e-08,2.22698376973e-08,2.36043009038e-08
2020-05-25 01:29:59,1.0266197388e-06,4.81726067072e-08,2.7027809683e-08,2.84697682287e-08
2020-05-25 01:44:59,1.07331622364e-06,4.86180976391e-08,2.79419809018e-08,3.13177905261e-08
2020-05-25 01:59:59,9.93671234584e-07,2.42259052877e-08,1.52321088447e-08,1.94953362297e-08
2020-05-25 02:14:59,1.00278484335e-06,2.90083912129e-08,1.92293135055e-08,2.32691529733e-08
2020-05-25 02:29:59,9.81435148943e-07,3.06416532932e-08,1.90098037736e-08,2.17341985739e-08
2020-05-25 02:44:59,9.91611740558e-07,2.6515090539e-08,1.60067894836e-08,1.74106743701e-08
2020-05-25 02:59:59,9.7689733279e-07,2.66757801963e-08,1.55461171401e-08,1.6866760251e-08
2020-05-25 03:14:59,9.52253744812e-07,2.99969530534e-08,1.83591335088e-08,2.1769344635e-08
2020-05-25 03:29:59,1.04742859786e-06,2.16458316146e-08,1.3884250665e-08,1.82918747849e-08
2020-05-25 03:44:59,1.10557059296e-06,4.39042542777e-08,2.84344703987e-08,3.29725327629e-08
2020-05-25 03:59:59,9.95224369124e-07,4.59772294789e-08,3.1533143125e-08,3.48095952796e-08
2020-05-25 04:14:59,1.01361359533e-06,2.61599846827e-08,1.74757871173e-08,1.91421596319e-08
2020-05-25 04:29:59,1.05099709252e-06,3.11960348611e-08,1.95115806317e-08,2.18886679108e-08
2020-05-25 04:44:59,1.07138681529e-06,3.66310751688e-08,2.30609282661e-08,2.66070844557e-08
2020-05-25 04:59:59,1.09565502796e-06,2.06881618408e-08,1.23660255242e-08,1.44068086981e-08
2020-05-25 05:14:59,1.07414935461e-06,1.55573910617e-08,8.9275121413e-09,1.00552516869e-08
2020-05-25 05:29:59,1.00211421905e-06,1.13677487362e-08,6.21375989272e-09,6.83291615472e-09
2020-05-25 05:44:59,1.02772384844e-06,1.13303944992e-08,6.08216169011e-09,6.81133578471e-09
2020-05-25 05:59:59,1.04298562452e-06,1.07993024512e-08,5.30317663001e-09,6.10066899874e-09
2020-05-25 06:14:59,1.04730264323e-06,1.08527824674e-08,4.83382835038e-09,5.45744728782e-09
2020-05-25 06:29:59,1.03339911478e-06,1.05639972051e-08,4.63349800192e-09,5.13051199962e-09
2020-05-25 06:44:59,1.00622455058e-06,1.34759659275e-08,6.59022465054e-09,7.07807052591e-09
2020-05-25 06:59:59,1.02794391695e-06,1.63605158032e-08,8.13247352925e-09,8.63626787624e-09
2020-05-25 07:14:59,1.08681529256e-06,1.47771567993e-08,7.15534215584e-09,7.58556900236e-09
2020-05-25 07:29:59,1.09089242892e-06,1.04540456795e-08,4.57654450121e-09,4.97169454538e-09
2020-05-25 07:44:59,1.14637319862e-06,9.83902325785e-09,3.84129279452e-09,4.1597873858e-09
2020-05-25 07:59:59,1.10189242224e-06,9.8660599666e-09,3.82427245008e-09,4.131790346e-09
2020-05-25 08:14:59,1.08535867285e-06,9.71156326182e-09,3.58413912422e-09,3.87419569368e-09
2020-05-25 08:29:59,1.04895069836e-06,9.77114945513e-09,3.3624688181e-09,3.61753613272e-09
2020-05-25 08:44:59,1.11303559316e-06,9.45288403135e-09,3.28548332287e-09,3.49428576808e-09
2020-05-25 08:59:59,1.07956648156e-06,9.31814552553e-09,3.30775854532e-09,3.53056553809e-09
2020-05-25 09:14:59,1.13989719153e-06,9.37457941353e-09,3.11768983104e-09,3.33431798545e-09
2020-05-25 09:29:59,1.14411936996e-06,9.43782652383e-09,3.1839028764e-09,3.48303451665e-09
2020-05-25 09:44:59,1.1044626239e-06,9.63811122065e-09,3.27196555859e-09,3.57772309718e-09
2020-05-25 09:59:59,1.12378665992e-06,9.63556356269e-09,3.16355705568e-09,3.34795684262e-09
2020-05-25 10:14:59,1.08634001975e-06,9.53577730588e-09,3.02608880954e-09,3.22941776578e-09
2020-05-25 10:29:59,1.10370092278e-06,9.57945317269e-09,2.96918654589e-09,3.17452545788e-09
2020-05-25 10:44:59,1.07020765702e-06,9.1756540892e-09,2.99762391021e-09,3.19857825306e-09
2020-05-25 10:59:59,1.04466836131e-06,9.07265071874e-09,2.92461164715e-09,3.10349862913e-09
2020-05-25 11:14:59,1.02958014e-06,9.14991313315e-09,2.86756819823e-09,3.02873408403e-09
